yacimiento;refMLH;refHesperia;texto;municipio;provincia;material;soporte;direccion_escritura;tecnica;signario;sistema_dual;separadores;datacion
El Otero;K.;P.04.01SUSPECTA;loukestero:uisko lanian̲-: k̲a̲s̲;Cantoral de la Peña;Palencia;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO E.;DUAL;3 y 4 PUNTOS;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Monte Bernorio;K.;P.05.01;[---]ium:kaa:sa;Villarén de Valdivia;Palencia;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO W.;NO DUAL;tres y dos líneas;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
El Pueyo de Belchite;K.;Z.17.01;[------] [---]+?[---?] [---]+rt̲u̲n̲os[---?];Belchite;Zaragoza;PIEDRA;estruc. arquit. (uso secundario);DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;CARECE;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Necrópolis de Las Ruedas (Pintia);K.;VA.02.20;ban;Padilla de Duero/Peñafiel;Valladolid;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;CELTIBERICO W.;NO DUAL;CARECE;s. I a.C.
Necrópolis de Las Ruedas (Pintia);K.;VA.02.21;ban;Padilla de Duero-Peñafiel;Valladolid;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;CELTIBERICO W.;NO DUAL;CARECE;s. I a.C.
Necrópolis de Las Ruedas (Pintia);K.;VA.02.22;ban;Padilla de Duero-Peñafiel;Valladolid;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;CELTIBERICO W.;NO DUAL;CARECE;s. I a.C.
Necrópolis de Las Ruedas (Pintia);K.;VA.02.23;ol;Padilla de Duero-Peñafiel;Valladolid;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;Celtibérico;NO DUAL;CARECE;Último tercio del s. I d.C.
Necrópolis de Las Ruedas (Pintia);K.;VA.02.24;ol;Padilla de Duero-Peñafiel;Valladolid;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;Celtibérico;NO DUAL;CARECE;s. I d.C.
Bursao;K.;Z.08.11;[---]+neṯo̱tes:ar+[---];Borja;Zaragoza;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;CELTIBERICO E.;DUAL;DOS PUNTOS;76 a.e., terminus ante quem
Dehesa o Guijo de Avilillas;K.;CC.06.01SUSPECTA;AVILACA;Plasenzuela;Cáceres;BRONCE;TESERA;DEXTROGIRA;PUNTILLADO;LATINO;NO APLICA;CARECE;Del siglo -I hasta el siglo I.
Clunia;K.13.;BU.06.05;muguuroskiim̲ine+;Peñalba de Castro;Burgos;PIEDRA;LAPIDA;DEXTROGIRA;INCISION;CELTIBERICO W.;DUAL;CARECE;Siglo - I, incluyendo el cambio de era.
Graccurris, Eras de San Martín;K.;LO.04.03;VENI++O̲ KR E CA̲+;Alfaro;La Rioja;BRONCE;TESERA;DEXTROGIRA;INCISION;LATINO;NO APLICA;;Del siglo -I hasta el siglo I.
