site,refMLH,refHesperia,text,municipality,province,material,medium,writing_direction,technique,signary,dual_system,separators,dating,municipality_latitude,municipality_longitude,province_latitude,province_longitude,dating_min,dating_max,dating_mean,dating_width,clean_text,material_cat,material_cat_code,medium_cat,medium_cat_code,writing_direction_cat_code,technique_cat,technique_cat_code,signary_cat,signary_cat_code,dual_system_cat,dual_system_cat_code,separators_cat,separators_cat_code
El Serrat de Sant Miquel de Sorba,D.04.07,B.01.07,+to,Montmajor,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,42.01778,1.7354,41.45,2.08,-175.0,-26.0,-100.5,149.0,+to,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Serrat de Sant Miquel de Sorba,D.04.08,B.01.11,[---]+bau,Montmajor,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglos II - I a.C.,42.01778,1.7354,41.45,2.08,-200.0,-1.0,-100.5,199.0,[---]+bau,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Serrat de Sant Miquel de Sorba,D.04.09,B.01.12,[---]+i+[---],Montmajor,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,42.01778,1.7354,41.45,2.08,-175.0,-26.0,-100.5,149.0,[---]+i+[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Serrat de Sant Miquel de Sorba,D.04.10,B.01.02,ata,Montmajor,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primera mitad del s. I a.C. (100 - 40 a.C.).,42.01778,1.7354,41.45,2.08,-100.0,-40.0,-70.0,60.0,ata,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Serrat de Sant Miquel de Sorba,D.04.11,B.01.03,bai,Montmajor,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,42.01778,1.7354,41.45,2.08,-175.0,-26.0,-100.5,149.0,bai,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Serrat de Sant Miquel de Sorba,D.04.12,B.01.01,ai,Montmajor,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,42.01778,1.7354,41.45,2.08,-175.0,-26.0,-100.5,149.0,ai,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Sotaterra,D.05.01,L.03.01,ostaŕ+ aṭẹbarteḅạṛ ṣuŕḿị,Solsona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,41.99420581,1.51954905,42.0,1.17,-175.0,-26.0,-100.5,149.0,ostaŕ+ aṭẹbarteḅạṛ ṣuŕḿị,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Sotaterra,D.05.02,L.03.04,luki,Solsona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,41.99420581,1.51954905,42.0,1.17,-175.0,-26.0,-100.5,149.0,luki,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Sotaterra,D.05.03,L.03.02,bin,Solsona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,41.99420581,1.51954905,42.0,1.17,-175.0,-26.0,-100.5,149.0,bin,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Sotaterra,D.05.04,L.03.11,[---]śake,Solsona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,41.99420581,1.51954905,42.0,1.17,-175.0,-26.0,-100.5,149.0,[---]śake,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Sotaterra,D.05.05,L.03.12,B) [---]+ḅạḳạ A) +[---],Solsona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Indeterminada.,41.99420581,1.51954905,42.0,1.17,,,,,B) [---]+ḅạḳạ A) +[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Sotaterra,D.05.06,L.03.13,[---]uṇ[---],Solsona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Indeterminada.,41.99420581,1.51954905,42.0,1.17,,,,,[---]uṇ[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Sotaterra,D.05.07,L.03.10,[---]baś[---],Solsona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II - mediados s. I a.C.,41.99420581,1.51954905,42.0,1.17,-200.0,-26.0,-113.0,174.0,[---]baś[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Sotaterra,D.05.08,L.03.03,la,Solsona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,41.99420581,1.51954905,42.0,1.17,-175.0,-26.0,-100.5,149.0,la,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Sotaterra,D.05.09,L.03.06,oś,Solsona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II - primera mitad del siglo I a.C.,41.99420581,1.51954905,42.0,1.17,-150.0,-51.0,-100.5,99.0,oś,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Sotaterra,D.05.10,L.03.08,tir,Solsona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,90/80 - 50/40 a.C.,41.99420581,1.51954905,42.0,1.17,-90.0,-40.0,-65.0,50.0,tir,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Molí d'Espígol,D.06.01,L.15.01,[---?]ninar,Tornabous,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo III a.C.,41.7014866,1.05387518,42.0,1.17,-300.0,-201.0,-250.5,99.0,[---]-]ninar,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Tossal de les Tenalles,D.07.01,L.14.01,kuleśuŕir,Sidamon,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,350-300 a.E.,41.62932957,0.8316493,42.0,1.17,-350.0,-300.0,-325.0,50.0,kuleśuŕir,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
La Roca dels Moros,D.08.01,L.09.01,A) balkar B) aḅịḷạḳụs(+)istiŕ(+)lakea(+)banśako+o̲l̲a̲ aiuniltiŕte C) ṇịŕ[.]ṛ́ekoneśanṣ́ại̱t̲e̲a̲ś̲a̲k̲a̲i̱b̲a̲r̲b̲e̲ D) ḅạḷ+ḳạḅạḳạ,El Cogul,Lleida,PIEDRA,PARIETAL/RUPESTRE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,ss. II-I aC,41.46672627,0.68971345,42.0,1.17,-200.0,-1.0,-100.5,199.0,A) balkar B) aḅịḷạḳụs+istiŕ+lakea+banśako+o̲l̲a̲ aiuniltiŕte C) ṇịŕ+ṛ́ekoneśanṣ́ại̱t̲e̲a̲ś̲a̲k̲a̲i̱b̲a̲r̲b̲e̲ D) ḅạḷ+ḳạḅạḳạ,PIEDRA,2,PARIETAL/RUPESTRE,3,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Margalef,D.09.01,L.11.01,ban,Torregrossa,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglos III - II a.C.,41.58095023,0.83184174,42.0,1.17,-300.0,-101.0,-200.5,199.0,ban,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Pilaret de Santa Quiteria,D.10.01,HU.02.01,aloŕiltu- i:belaśbais- ereban:keltaŕ erkerḿi:aḿe- teikeoen:erḿ- i,Fraga,Huesca,PIEDRA,LAPIDA,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,DOS PUNTOS,Insegura: siglos II - I a.C.,41.52221149,0.3489743,42.17,-0.17,-200.0,-1.0,-100.5,199.0,aloŕiltui:belaśbaisereban:keltaŕ erkerḿi:aḿeteikeoen:erḿi,PIEDRA,2,LAPIDA,5,1,INCISION,1,LEVANTINO,1,NO DUAL,1,DOS PUNTOS,3
El Gebut A,D.11.01,L.07.01,belśtaŕtike,Soses,Lleida,PLATA,JOYA,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,,41.53316329,0.48734956,42.0,1.17,,,,,belśtaŕtike,PLATA,5,MISC.,6,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
La Valleta del Valeroso,D.11.02,L.07.04,suise[---],Soses,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad s. II - primera mitad s. I a.C.,41.53316329,0.48734956,42.0,1.17,-150.0,-51.0,-100.5,99.0,suise[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Gebut A,D.11.03,L.07.02,:kaśtaunbankuŕs,Soses,Lleida,CERAMICA,INSTRUMENTO,LEVOGIRA,INCISION,LEVANTINO,NO DUAL,TRES PUNTOS,Indeterminada.,41.53316329,0.48734956,42.0,1.17,,,,,:kaśtaunbankuŕs,CERAMICA,1,INSTRUMENTO,10,2,INCISION,1,LEVANTINO,1,NO DUAL,1,TRES PUNTOS,4
La Vispesa,D.12.01,HU.01.01,(a) [---]tan:oŕkeikelaur:ekisiŕan:neitin[---] (b) [---]śkeŕ:,Binéfar,Huesca,PIEDRA,LAPIDA,DEXTROGIRA,REPUJADO,LEVANTINO,NO DUAL,TRES PUNTOS,Siglos II - I a.C.,41.85299404,0.2934451,42.17,-0.17,-200.0,-1.0,-100.5,199.0,(a) [---]tan:oŕkeikelaur:ekisiŕan:neitin[---] (b) [---]śkeŕ:,PIEDRA,2,LAPIDA,5,1,REPUJADO,6,LEVANTINO,1,NO DUAL,1,TRES PUNTOS,4
La Vispesa,D.12.02,HU.01.02,[---]biloskeŕe+kieiki:beta++ki[---],Binéfar,Huesca,PIEDRA,LAPIDA,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,DOS PUNTOS,Siglos II - I a.C.,41.85299404,0.2934451,42.17,-0.17,-200.0,-1.0,-100.5,199.0,[---]biloskeŕe+kieiki:beta++ki[---],PIEDRA,2,LAPIDA,5,1,INCISION,1,LEVANTINO,1,NO DUAL,1,DOS PUNTOS,3
Desconocido,D.00.01.SUP,L.00.01,A) baśtur̲erteŕokanutur B) - ikośarka:ṇ[--]siren:śalir:biteianbaṣ́ṭụṛer:ṇ[ei]ṭịṇ:iumstir,Desconocido,Lleida,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,2 y 3 puntos,Finales s. III - comienzos s. II a.C.,,,42.0,1.17,-221.0,-181.0,-201.0,40.0,A) baśtur̲erteŕokanutur B) ikośarka:ṇ[---]]siren:śalir:biteianbaṣ́ṭụṛer:ṇeiṭịṇ:iumstir,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,LEVANTINO,1,NO DUAL,1,MIXED,5
El Serrat de Sant Miquel de Sorba,D.04.06,B.01.06,kiis,Montmajor,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,42.01778,1.7354,41.45,2.08,-175.0,-26.0,-100.5,149.0,kis,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Iesso,D.15.01.SUP,L.18.01,neitinke subake:e:i:tako,Guissona,Lleida,PIEDRA,LAPIDA,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,Un punto,Finales del s. II - inicios del s. I a.C.,41.78497273,1.28903996,42.0,1.17,-121.0,-81.0,-101.0,40.0,neitinke subake:e:i:tako,PIEDRA,2,LAPIDA,5,1,INCISION,1,LEVANTINO,1,NO DUAL,1,UN PUNTO,6
La Canal dels Avellaners,D.52.01.S1,B.02.01,akal,Berga,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,42.10328874,1.8440247,41.45,2.08,-175.0,-26.0,-100.5,149.0,akal,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Coimbra del Barranco Ancho,G.23.01SUP,MU.01.01,]b̲[ ]o i̲b ]X Xlt;: ibe [-]+o̲+e̲[ ]u̱ŕbiloske:[-]śśX̲Xlt;̲:[-][ ]ŕike:Xlt;Xlt;lt;̱ :śikebuŕke :śśX[ 5 ]diŕśaneke̲:Xlt;Xlt;̲[lt;]:neŕsio [ b̲i̲losdaŕke:gt;lt;Xlt;̲+[ ]+++tigiś̲++[ [-]o̲[,Jumilla,Murcia,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,GRECOIBERICO,NO APLICA,DOS PUNTOS,Siglo IV a.C.,38.47617313,-1.32702475,38.0,-1.13,-400.0,-301.0,-350.5,99.0,]b̲[ ]o i̲b ]X X<: ibe ++o̲+e̲[ ]u̱ŕbiloske:+śśX̲X<̲:+[ ]ŕike:X<X<<̱ :śikebuŕke :śśX[ ]diŕśaneke̲:X<X<̲<:neŕsio [ b̲i̲losdaŕke:><X<̲+[ ]+++tigiś̲++[ +o̲[,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,GRECOIBERICO,5,,3,DOS PUNTOS,3
Castellet de Bernabé,F.13.,V.06.002,]e̲kesaeṟ eŕiarbam[,Liria / Llíria,Valencia,CERAMICA,RECIPIENTE,DEXTROGIRA,PINTADO,LEVANTINO,DUAL,CARECE,Insegura: siglos III - II a.C.,39.62586366,-0.59442849,39.48,-0.38,-300.0,-101.0,-200.5,199.0,]e̲kesaeṟ eŕiarbam[,CERAMICA,1,RECIPIENTE,1,1,PINTADO,2,LEVANTINO,1,DUAL,2,CARECE,1
La Alcudia,G.12,A.10.11ALIENA,Cara externa: soanbibu taki Cara interior: ti kekadu,Elche / Elx,Alicante,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,,NO DUAL,CARECE,Mediados s. II - mediados s. I a.C.,38.26536234,-0.698854923,38.5,-0.5,-175.0,-26.0,-100.5,149.0,  soanbibu taki   ti kekadu,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,,8,NO DUAL,1,CARECE,1
La Alcudia,G.12,A.10.12ALIENA,kakembaloutalou,Elche / Elx,Alicante,PIEDRA,LAPIDA,LEVOGIRA,INCISION,MERIDIONAL,NO APLICA,CARECE,Siglos II - I a.C.,38.26536234,-0.698854923,38.5,-0.5,-200.0,-1.0,-100.5,199.0,kakembaloutalou,PIEDRA,2,LAPIDA,5,2,INCISION,1,MERIDIONAL,3,,3,CARECE,1
La Serreta,G.01.10,A.04.10,]+[ ]lu[ ]taś len[ ]+[,Alcoy /Alcoi,Alicante,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Indeterminada.,38.69764173,-0.473163128,38.5,-0.5,,,,,]+[ ]lu[ ]taś len[ ]+[,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
La Serreta,G.01.02,A.04.02FALSA,iŕiseret ilaeŕi:isai gudu : leisi: + :leikta beri:leiŕia 5 salir:iŕide : setabeŕe : +: arnai,Alcoy /Alcoi,Alicante,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,GRECOIBERICO,NO APLICA,DOS PUNTOS,Insegura: siglos IV - III a.C.,38.69764173,-0.473163128,38.5,-0.5,-400.0,-201.0,-300.5,199.0,iŕiseret ilaeŕi:isai gudu : leisi: + :leikta beri:leiŕia salir:iŕide : setabeŕe : +: arnai,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,GRECOIBERICO,5,,3,DOS PUNTOS,3
Desconocido,G.00.02SUP,SP.01.08,inbaa+litur,cerca de Mogente ?,Desconocida,PLOMO,ARMA,LEVOGIRA,INCISION,MERIDIONAL,NO DUAL,RAYA,Indeterminada.,,,,,,,,,inbaa+litur,PLOMO,3,ARMA,21,2,INCISION,1,MERIDIONAL,3,NO DUAL,1,RAYA,8
La Serreta,G.01.09,A.04.09,]aula ]śan +ś ig,Alcoy /Alcoi,Alicante,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,GRECOIBERICO,NO APLICA,CARECE,Siglo IV - primera mitad del s. III a.C.,38.69764173,-0.473163128,38.5,-0.5,-400.0,-251.0,-325.5,149.0,]aula ]śan +ś ig,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,GRECOIBERICO,5,,3,CARECE,1
El Cerro de las Balsas,G.10SUSPECTA,A.09.05SUSPECTA,Cara A: śebiŕin:taubaśtetaś tintileis:bantubailkunḿi arbais:neban:kuniŕ bantaśkalir:belśtaukui:aurelen I̵̵I̵I̵ I kekeerirtiban:kuteŕnaniśil 5 beŕenultiteś:kitei:autiriśa nbali:toroś:balaukiakiŕe abarbaśtanie:sonai iumabeleś:talkuneu Cara B: baskiteierinuie,Alicante / Alacant,Alicante,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,LEVANTINO,NO APLICA,TRES PUNTOS,Desconocido.,38.34548705,-0.4831832,38.5,-0.5,,,,, A: śebiŕin:taubaśtetaś tintileis:bantubailkunḿi arbais:neban:kuniŕ bantaśkalir:belśtaukui:aurelen I̵̵I̵I̵ I kekeerirtiban:kuteŕnaniśil beŕenultiteś:kitei:autiriśa nbali:toroś:balaukiakiŕe abarbaśtanie:sonai iumabeleś:talkuneu  B: baskiteierinuie,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,LEVANTINO,1,,3,TRES PUNTOS,4
La Bastida de les Alcusses,G.07.05SUP,V.17.05,A: biśkibideŕseti:teia:baneia basbiduŕbardin B: śntaŕlabitan:kosbideŕtuan:koikaS45skituŕ ebarkoŕar,Mogente / Moixent,Valencia,PLOMO,LAMINA/PLANCHA,LEVOGIRA,INCISION,MERIDIONAL,DUAL,RAYA,Primera mitad del s. IV a.C.,38.87398074,-0.751892924,39.48,-0.38,-400.0,-351.0,-375.5,49.0,A: biśkibideŕseti:teia:baneia basbiduŕbardin B: śntaŕlabitan:kosbideŕtuan:koika+skituŕ ebarkoŕar,PLOMO,3,LAMINA/PLANCHA,2,2,INCISION,1,MERIDIONAL,3,DUAL,2,RAYA,8
Iesso,D.15.11.S1LATINA,L.18.15LATINA,RA,Guissona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,Incisión ante coctionem,LEVANTINO,NO DUAL,CARECE,,41.78497273,1.28903996,42.0,1.17,,,,,RA,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Iesso,D.15.03.S1,L.18.07,kul,Guissona,Lleida,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,"Siglo II a.C., probablemente de sus últimos años.",41.78497273,1.28903996,42.0,1.17,-200.0,-101.0,-150.5,99.0,kul,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Desconocido,F.25.,V.02.02,A: aitus̱ink̲a̱:a IIIIIII: abaŕg̱e̱ŕes:eŕeil śeiar:bi B: ideŕ:dagan: s̱is̱bibeiabin a I:o I:gi I,Casinos,Valencia,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,LEVANTINO,DUAL,DOS PUNTOS,"Ferrer i Jané - Escrivà (2014, 212): finales s. III - comienzos del II a.C.",39.70027294,-0.70721276,39.48,-0.38,-221.0,-181.0,-201.0,40.0,A: aitus̱ink̲a̱:a IIIIIII: abaŕg̱e̱ŕes:eŕeil śeiar:bi B: ideŕ:dagan: s̱is̱bibeiabin a I:o I:gi I,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,LEVANTINO,1,DUAL,2,DOS PUNTOS,3
Baetulo,C.08.,B.41.08,toke+[---],Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglos II - I a.C.,41.45262481,2.24625368,41.45,2.08,-200.0,-1.0,-100.5,199.0,toke+[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Castellet de Bernabé,F.13,V.06.003,]+óoŝstodoáalâ+[,Liria / Llíria,Valencia,CERAMICA,RECIPIENTE,DEXTROGIRA,PINTADO,LEVANTINO,DUAL,CARECE,Insegura: siglos III - II a.C.,39.62586366,-0.59442849,39.48,-0.38,-300.0,-101.0,-200.5,199.0,]+óoŝstodoáalâ+[,CERAMICA,1,RECIPIENTE,1,1,PINTADO,2,LEVANTINO,1,DUAL,2,CARECE,1
Desconocido,G.,SP.01.07,++sinbeleś̱[:]bańkoŕ:iustir:taŕban+leś:kos̱o:ařakotař[-]lař:u̱iańetin++:+taṟ̌abań:iŕS81+:gasr:sinbatai:kasuŕbatai:u̱ia[ń]eia:goga:biS81gin:selgib̲e̲leśeśanbaŕbadekařesren,Desconocido,Desconocida,PLOMO,LAMINA/PLANCHA,LEVOGIRA,INCISION,MERIDIONAL,DUAL,TRES PUNTOS,Indeterminada,,,,,,,,,++sinbeleś̱:bańkoŕ:iustir:taŕban+leś:kos̱o:ařakotař+lař:u̱iańetin++:+taṟ̌abań:iŕ++:gasr:sinbatai:kasuŕbatai:u̱iańeia:goga:bi+gin:selgib̲e̲leśeśanbaŕbadekařesren,PLOMO,3,LAMINA/PLANCHA,2,2,INCISION,1,MERIDIONAL,3,DUAL,2,TRES PUNTOS,4
El Puig de La Misericòrdia,F.,CS.02.02,+ututer,Vinaroz / Vinaròs,Castellón,CERAMICA,RECIPIENTE,DEXTROGIRA,PINTADO,LEVANTINO,NO DUAL,CARECE,Desconocida,40.47092595,0.47487433,40.17,-0.17,,,,,+ututer,CERAMICA,1,RECIPIENTE,1,1,PINTADO,2,LEVANTINO,1,NO DUAL,1,CARECE,1
La Closa,F.,CS.02.03,kike,Vinaroz / Vinaròs,Castellón,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Comienzos del siglo I a.C.,40.47092595,0.47487433,40.17,-0.17,-100.0,-81.0,-90.5,19.0,kike,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Tossal del Mor,D.,L.17.01,[.]ṛ́tilako:istikaṇiṛ:ibeŕṭạṇẹś:oŕtin+keŕ,Tàrrega,Lleida,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,TRES PUNTOS,Finales del siglo III y principios del siglo II a.C.,41.64658452,1.13935429,42.0,1.17,-221.0,-101.0,-161.0,120.0,+ṛ́tilako:istikaṇiṛ:ibeŕṭạṇẹś:oŕtin+keŕ,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,LEVANTINO,1,NO DUAL,1,TRES PUNTOS,4
Cartagena,G.,MU.06.03,+el,Cartagena,Murcia,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Insegura: finales s. III a.C. - cambio de era.,37.60017342,-0.98210494,38.0,-1.13,-221.0,1.0,-110.0,222.0,+el,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Reiná,G.,AB.02.01,+lś+ristekate,Alcalá del Júcar,Albacete,PIEDRA,PARIETAL/RUPESTRE,LEVOGIRA,INCISION,MERIDIONAL,DUAL,CARECE,Insegura: s. V - II a.C.,39.1932018,-1.42932697,38.83,-2.0,-500.0,-101.0,-300.5,399.0,+lś+ristekate,PIEDRA,2,PARIETAL/RUPESTRE,3,2,INCISION,1,MERIDIONAL,3,DUAL,2,CARECE,1
El Serrat de Sant Miquel,C.26.,T.06.11,lauŕtao,Vinebre,Tarragona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglos II - I a.C.,41.18322787,0.5885715,41.17,1.0,-200.0,-1.0,-100.5,199.0,lauŕtao,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Abengibre,G.16.01a,AB.01.01a,a. ḵo̱kar b. kaŕekaŕ:segitekeŕ:lu̱keśir:akailtiŕtegeŕai:iŕ++ŕiatuiaś,Abengibre,Albacete,PLATA,RECIPIENTE,LEVOGIRA,INCISION,MERIDIONAL,DUAL,RAYA,Insegura. Santa Olalla: s. V - comienzos del IV a.C. Raddatz: finales s. III a.C.,39.2100078,-1.54384487,38.83,-2.0,-500.0,-202.0,-351.0,298.0,a. ḵo̱kar b. kaŕekaŕ:segitekeŕ:lu̱keśir:akailtiŕtegeŕai:iŕ++ŕiatuiaś,PLATA,5,RECIPIENTE,1,2,INCISION,1,MERIDIONAL,3,DUAL,2,RAYA,8
Tos Pelat,F.,V.21.01,A1a ]ṯu̱[.]++á̱aki+[..]íitidióo[ A1b ]++bol A2a1 ]kigiúutodo[…][ A2a2 ]ŕřkigiúutodo+[..][ A2b1 ]+g̲a̲+ṯi̱ḏi̱tadaṯe̱deéek̲u̱g̲u̲[ A2b2 ]+ṯa̲ḏa̲tedeée̲tudukug̲u̲[,Moncada,Valencia,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Primera mitad del siglo IV a.C.,39.54537844,-0.39446412,39.48,-0.38,-400.0,-351.0,-375.5,49.0,A1a ]ṯu̱+++á̱aki+[---]íitidióo[ A1b ]++bol A2a1 ]kigiúutodo[---][ A2a2 ]ŕřkigiúutodo+[---][ A2b1 ]+g̲a̲+ṯi̱ḏi̱tadaṯe̱deéek̲u̱g̲u̲[ A2b2 ]+ṯa̲ḏa̲tedeée̲tudukug̲u̲[,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
