site,refMLH,refHesperia,text,municipality,province,material,medium,writing_direction,technique,signary,dual_system,separators,dating,municipality_latitude,municipality_longitude,province_latitude,province_longitude,dating_min,dating_max,dating_mean,dating_width,clean_text,material_cat,material_cat_code,medium_cat,medium_cat_code,writing_direction_cat_code,technique_cat,technique_cat_code,signary_cat,signary_cat_code,dual_system_cat,dual_system_cat_code,separators_cat,separators_cat_code
Cal Ros de les Cabres,C.54.01.S1,B.42.01,[---]ku-s[---],El Masnou,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,RAYA,Siglo II - mediados s. I a.C.,41.47943758,2.31648978,41.45,2.08,-200.0,-26.0,-113.0,174.0,[---]ku-s[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,RAYA,8
Baetulo,C.08.04.S1,B.41.17,[---]+ti,Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Quizá inicios del I a.C.,41.45262481,2.24625368,41.45,2.08,-100.0,-81.0,-90.5,19.0,[---]+ti,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.05.S1,B.41.14,si,Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,En torno al 100 a.C.,41.45262481,2.24625368,41.45,2.08,-120.0,-80.0,-100.0,40.0,si,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.15.S1,B.41.16,[---]baś,Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Hacia el 100 a.C.,41.45262481,2.24625368,41.45,2.08,-120.0,-80.0,-100.0,40.0,[---]baś,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.16.S1,B.41.13,lku,Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II a.C. - primera mitad del siglo I a.C.,41.45262481,2.24625368,41.45,2.08,-150.0,-51.0,-100.5,99.0,lku,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.08.S1,B.41.11,karkankati,Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II - primera mitad del siglo I a.C.,41.45262481,2.24625368,41.45,2.08,-150.0,-51.0,-100.5,99.0,karkankati,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.07.S1,B.41.10,ei,Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Probablemente primera mitad del siglo I a.C.,41.45262481,2.24625368,41.45,2.08,-100.0,-51.0,-75.5,49.0,ei,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.21.S1,B.41.07,l+[---],Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II a.C.,41.45262481,2.24625368,41.45,2.08,-200.0,-101.0,-150.5,99.0,l+[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.14.S1,B.41.15,tin[---],Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primera mitad del siglo I a.C.,41.45262481,2.24625368,41.45,2.08,-100.0,-51.0,-75.5,49.0,tin[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.09.S1,B.41.06,iun,Badalona,Barcelona,CERAMICA,Tapadera,DEXTROGIRA,IMPRESO,LEVANTINO,NO DUAL,CARECE,Primera mitad del siglo I a.C.,41.45262481,2.24625368,41.45,2.08,-100.0,-51.0,-75.5,49.0,iun,CERAMICA,1,TAPADERA,22,1,IMPRESO,3,LEVANTINO,1,NO DUAL,1,CARECE,1
Montjuïc,C.09.02.S1,B.37.03,baikar,Barcelona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,"Siglo IV a.C. (mediados o segunda mitad, probablemente)",41.38424664,2.17634927,41.45,2.08,-375.0,-325.0,-350.0,50.0,baikar,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Montjuïc,C.09.03.S1,B.37.04,uatina,Barcelona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo I a.C.,41.38424664,2.17634927,41.45,2.08,-100.0,-1.0,-50.5,99.0,uatina,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Camí Vell del Llor,C.31.01.S1,B.36.03,iko,Sant Boi de Llobregat,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Tercer cuarto del s. II a.C.,41.3425371,2.04182116,41.45,2.08,-150.0,-126.0,-138.0,24.0,iko,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Camí Vell del Llor,C.31.09.S1,B.36.05,[---]ba+[---],Sant Boi de Llobregat,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Tercer cuarto del s. II a.C.,41.3425371,2.04182116,41.45,2.08,-150.0,-126.0,-138.0,24.0,[---]ba+[---],CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Camí Vell del Llor,C.31.10.S1,B.36.LATINA,VV,Sant Boi de Llobregat,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,,41.3425371,2.04182116,41.45,2.08,,,,,VV,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Camí Vell del Llor,C.31.02.S1,B.36.06,[---]esa,Sant Boi de Llobregat,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Tercer cuarto del siglo II a.C.,41.3425371,2.04182116,41.45,2.08,-150.0,-126.0,-138.0,24.0,[---]esa,CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Camí Vell del Llor,C.31.03.S1,B.36.08,[---]+eti+[---],Sant Boi de Llobregat,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primer cuarto del s. I a.C.,41.3425371,2.04182116,41.45,2.08,-100.0,-76.0,-88.0,24.0,[---]+eti+[---],CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Camí Vell del Llor,C.31.04.S1,B.36.07,[---]mba+[---],Sant Boi de Llobregat,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Tercer cuarto del siglo I a.C.,41.3425371,2.04182116,41.45,2.08,-50.0,-26.0,-38.0,24.0,[---]mba+[---],CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sant Boi de Llobregat,C.31.05.S1,B.36.02,tau[---],Sant Boi de Llobregat,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados del s. II a.C.,41.3425371,2.04182116,41.45,2.08,-175.0,-126.0,-150.5,49.0,tau[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sant Boi de Llogregat,C.31.06.S1,B.36.04,laku,Sant Boi de Llogregat,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primera mitad del siglo I a.C.,41.3425371,2.04182116,41.45,2.08,-100.0,-51.0,-75.5,49.0,laku,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sant Boi de Llobregat,C.31.07.S1,B.36.01,skeŕlakonaŕankokolo[---],Sant Boi de Llobregat,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Siglos IV - III a.C.,41.3425371,2.04182116,41.45,2.08,-400.0,-201.0,-300.5,199.0,skeŕlakonaŕankokolo[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Egara,C.32.01.S1,B.16.01,ai,Terrassa,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II a.C.,41.56236346,2.01215141,41.45,2.08,-200.0,-101.0,-150.5,99.0,ai,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Egara,C.32.02.S1,B.16.02,bai[---],Terrassa,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II - mediados s. I a.C.,41.56236346,2.01215141,41.45,2.08,-200.0,-26.0,-113.0,174.0,bai[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Egara,C.32.03.S1,B.16.04,use[---],Terrassa,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales del s. II o principios del I a.C.,41.56236346,2.01215141,41.45,2.08,-121.0,-1.0,-61.0,120.0,use[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Fatjó,C.11.13.S1,B.17.11,[---]lau,Rubí,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primera mitad del I a.C.,41.41416031,1.651743545,41.45,2.08,-100.0,-51.0,-75.5,49.0,[---]lau,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Turó de Ca n'Oliver,C.12.03.S1,B.20.14,[---]kule,Cerdanyola del Vallès,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Insegura: siglos II - I a.C.,41.49134054,2.1398926,41.45,2.08,-200.0,-1.0,-100.5,199.0,[---]kule,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Turó de Ca n'Oliver,C.12.02.S1,B.20.04,bilo[s]aŕkerdegiar,Cerdanyola del Vallès,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Entre el siglo IV y la segunda mitad del siglo III a.C.,41.49134054,2.1398926,41.45,2.08,-400.0,-201.0,-300.5,199.0,bilosaŕkerdegiar,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
El Puig Cardener,C.33.01.S1,B.13.01,aduŕọ[---],Manresa,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Segunda mitad del siglo V a.C.,41.72312665,1.826990985,41.45,2.08,-450.0,-401.0,-425.5,49.0,aduŕọ[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Boades,C.33.02.S1,B.14.01,lal,Castellgalí,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II a.C.,41.67613293,1.8396602,41.45,2.08,-150.0,-101.0,-125.5,49.0,lal,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Boades,C.33.04.S1 = C.58.4.S1,B.14.02,a) lu b) (aspa),Castellgalí,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II a.C.,41.67613293,1.8396602,41.45,2.08,-150.0,-101.0,-125.5,49.0,a) lu b) +,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Boades,C.33.03.S1,B.14.03,baŕ,Castellgalí,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,Incisión ante coctionem,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II a.C.,41.67613293,1.8396602,41.45,2.08,-150.0,-101.0,-125.5,49.0,baŕ,CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D. (C.34.06.S1),B.12.06,a) o b) a,Els Prats de Rei,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primera mitad del siglo I a.C.,41.70526754,1.54209814,41.45,2.08,-100.0,-51.0,-75.5,49.0,a) o b) a,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D.,B.12.07,[---]-s,Els Prats de Rei,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II - primera mitad del s. I a.C.,41.70526754,1.54209814,41.45,2.08,-200.0,-51.0,-125.5,149.0,[---]-s,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D. (C.34.01.S1),B.12.01,ata,Els Prats de Rei,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II a.C. - primera mitad s. I a.C.,41.70526754,1.54209814,41.45,2.08,-200.0,-51.0,-125.5,149.0,ata,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D. (C.34.02.S1),B.12.03,ḿba,Els Prats de Rei,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados o segunda mitad del siglo II a. E.,41.70526754,1.54209814,41.45,2.08,-151.0,-127.0,-139.0,24.0,ḿba,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D. (C.34.03.S1),B.12.05,ube,Els Prats de Rei,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados o segunda mitad del siglo II a.C.,41.70526754,1.54209814,41.45,2.08,-151.0,-127.0,-139.0,24.0,ube,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
